"page","position","agency_name","categories"
7,6,"Liveinup","Centro per il tempo libero, Sport di avventura, Agenzia per escursioni, Negozio di articoli da regalo, Servizio di coupon, Organizzatore di attività all'aperto, Centro per il tempo libero, Sport di avventura, Agenzia per escursioni, Negozio di articoli da regalo, Servizio di coupon, Organizzatore di attività all'aperto"
7,7,"HDSalento","Noleggio vacanze, Agenzia di affitto di case vacanze, Casa vacanze, Noleggio vacanze, Agenzia di affitto di case vacanze, Casa vacanze"
7,8,"Mokoro Tours","Tour operator, Tour operator"
7,9,"Backpacker Adventure","Tour operator, Agenzia viaggi, Tour operator, Agenzia viaggi"
7,10,"lovesud.it","Casa vacanze, Casa vacanze"
7,11,"Sightseeing Experience","Tour operator, Tour operator"
7,12,"WorldHeritageVoyages","Tour operator, Tour operator"
7,13,"Vivi Salento","Centro informazioni turistiche, Agenzia viaggi, Centro informazioni turistiche, Agenzia viaggi"
7,14,"CTATRADE.IT","Negozio di forniture per ristoranti, Negozio di forniture per hotel, Hotel, Zona ristorazione, Negozio di forniture per ristoranti, Negozio di forniture per hotel, Hotel, Zona ristorazione"
7,15,"Imperial Suite Guest House - Roma","Hotel, Bed & Breakfast, Alloggio completo di servizi, Hotel, Bed & Breakfast, Alloggio completo di servizi"
7,16,"Latitude 180°","Agenzia viaggi, Tour operator, Agenzia viaggi, Tour operator"
7,17,"CASETTE ITALIA SRL - casette in legno","Costruttore di garage, Bungalow, Azienda di case prefabbricate, Cottage e chalet, Costruttore di garage, Bungalow, Azienda di case prefabbricate, Cottage e chalet"
7,18,"Scoprireilmondo","Agenzia viaggi, Agenzia viaggi"
7,19,"Vetteebaite","Agenzia per escursioni, Agenzia per escursioni"
7,20,"eBuo","Fornitore di attrezzature per gelatai, Negozio di forniture per hotel, Negozio di arredamento per bar e ristoranti, Negozio di forniture per ristoranti, Fornitore di attrezzature per gelatai, Negozio di forniture per hotel, Negozio di arredamento per bar e ristoranti, Negozio di forniture per ristoranti"
8,1,"Passeggero al sicuro","Consulente aeronautico, Agenzia di informazioni, Agenzia viaggi, Studio legale, Consulente aeronautico, Agenzia di informazioni, Agenzia viaggi, Studio legale"
8,2,"Etna3340 di Antonio Reina","Tour operator, Tour operator"
8,3,"Ischiatophotel","Viaggi e vacanze, Viaggi e vacanze"
8,4,"amaresalento.it","Agenzia di escursioni turistiche, Agenzia di escursioni turistiche"
8,5,"BeetCommunity","Bed & Breakfast, Spazio di coworking, Ufficio aziendale, Boutique hotel, Bed & Breakfast, Spazio di coworking, Ufficio aziendale, Boutique hotel"
8,6,"I Viaggi di Seve","Agenzia viaggi, Agenzia viaggi"
8,7,"Airmar Viaggi & Turismo","Sito di raccolta di viaggi, Agenzia per escursioni, Agenzia viaggi, Tour operator, Sito di raccolta di viaggi, Agenzia per escursioni, Agenzia viaggi, Tour operator"
8,8,"Puoy","Agenzia viaggi, Agenzia viaggi"
8,9,"Noleggioautocerimonia","Agenzia di escursioni turistiche, Servizio per matrimoni, Agenzia di noleggio auto, Agenzia di escursioni turistiche, Servizio per matrimoni, Agenzia di noleggio auto"
8,10,"Kiraviaggi","Tour operator, Agenzia di biglietti aerei, Tour operator, Agenzia di biglietti aerei"
8,11,"AltreVie - Esperienze escursionistiche","Agenzia per escursioni, Agenzia per escursioni"
8,12,"Around Turin","Agenzia viaggi, Agenzia viaggi"
8,13,"Blacklux","Servizio di navetta per l'aeroporto, Servizio di limousine, Servizio di noleggio barche, Servizio di trasporto, Stazione dei taxi, Azienda di trasporti in bus, Servizio di navetta per l'aeroporto, Servizio di limousine, Servizio di noleggio barche, Servizio di trasporto, Stazione dei taxi, Azienda di trasporti in bus"
8,14,"Buonacrociera","Agenzia di viaggi in crociera, Agenzia di viaggi in crociera"
8,15,"atuttomondo","Agenzia viaggi, Agenzia viaggi"
8,16,"Tinkywinky Travel Tour Operator","Centro informazioni turistiche, Centro informazioni turistiche"
8,17,"Il Geco Verde SSD a r.l.","Club sportivo, Sito di raccolta di viaggi, Club sportivo, Sito di raccolta di viaggi"
8,18,"Casa Lucii","Fattoria aperta al pubblico, Azienda vinicola, Produttore di olio d'oliva, Produzione agricola, Vigneto, Cantina, Fattoria aperta al pubblico, Azienda vinicola, Produttore di olio d'oliva, Produzione agricola, Vigneto, Cantina"
8,19,"Antarctica","Agenzia viaggi, Tour operator, Agenzia viaggi, Tour operator"
8,20,"Luxo Italia","Wedding planner, Organizzatore di eventi, Organizzatore di feste, Agenzia viaggi, Wedding planner, Organizzatore di eventi, Organizzatore di feste, Agenzia viaggi"
9,1,"Kiwistore","Negozio di forniture per hotel, Negozio di forniture per ristoranti, Negozio di forniture per hotel, Negozio di forniture per ristoranti"
9,2,"Franco Grasso Revenue Team","Consulente, Hotel, Consulente, Hotel"
9,3,"Viaggium","Tour operator, Tour operator"
9,4,"Sorrento Luxury Charter","Agenzia di escursioni turistiche, Agenzia di escursioni turistiche"
9,5,"VIP-BOOKING.DE","Agenzia di affitto di case vacanze, Agenzia di affitto di case vacanze"
9,6,"Your Holidays in Umbria","Agenzia di escursioni turistiche, Fornitore di escursioni culturali, Azienda di catering a domicilio, Agenzia di escursioni turistiche, Fornitore di escursioni culturali, Azienda di catering a domicilio"
9,7,"Haute Retreats","Noleggio vacanze, Agenzia viaggi, Noleggio vacanze, Agenzia viaggi"
9,8,"OddUrbanThings","Fornitore di escursioni culturali, Fornitore di escursioni culturali"
9,9,"Emma Villas","Agenzia di affitto di case vacanze, Tour operator, Agenzia di affitti immobiliari, Agenzia di affitto di case vacanze, Tour operator, Agenzia di affitti immobiliari"
9,10,"Pineca.it","Costruttore di case di tronchi, Fornitore di fabbricati da giardino, Azienda di case prefabbricate, Capanne di tronchi, Costruttore di case di tronchi, Fornitore di fabbricati da giardino, Azienda di case prefabbricate, Capanne di tronchi"
9,11,"Ilmiovillaggio.it","Noleggio vacanze, Tour operator, Servizio sistemazione per vacanze, Sito di raccolta di viaggi, Agenzia viaggi, Settimane bianche, Noleggio vacanze, Tour operator, Servizio sistemazione per vacanze, Sito di raccolta di viaggi, Agenzia viaggi, Settimane bianche"
9,12,"Holidoit","Sito di raccolta di viaggi, Sito di raccolta di viaggi"
9,13,"Snowit","Settimane bianche, Settimane bianche"
9,14,"Hotel Portoghesi","Boutique hotel, Boutique hotel"
9,15,"Sudest Homes","Agenzia di affitto di case vacanze, Agenzia di affitto di case vacanze"
9,16,"Unmetrodamare","Noleggio di appartamenti per vacanze, Appartamento vacanze, Casa vacanze, Bed & Breakfast, Agenzia di affitto di case vacanze, Noleggio di appartamenti per vacanze, Appartamento vacanze, Casa vacanze, Bed & Breakfast, Agenzia di affitto di case vacanze"
9,17,"Team Lingue","Scuola di inglese, Fornitore di servizi legati alla carriera e all'istruzione, Fornitore di corsi di lingua, Tour operator, Traduttore, Agenzia di certificazione, Scuola di inglese, Fornitore di servizi legati alla carriera e all'istruzione, Fornitore di corsi di lingua, Tour operator, Traduttore, Agenzia di certificazione"
9,18,"Casesicule","Agenzia di affitto di case vacanze, Agenzia di affitto di case vacanze"
9,19,"APT NAPOLI","Agenzia per escursioni, Agenzia per escursioni"
9,20,"Tourist Italy","Tour operator, Tour operator"
10,1,"RitardoAereo","Agenzia viaggi, Agenzia di biglietti aerei, Sito di ricerca di voli aerei, Agenzia di viaggi sportivi, Aeroporto, Agenzia viaggi, Agenzia di biglietti aerei, Sito di ricerca di voli aerei, Agenzia di viaggi sportivi, Aeroporto"
10,2,"VIAGEA","Agenzia viaggi, Tour operator, Agenzia viaggi, Tour operator"
10,3,"Nextravel","Agenzia viaggi, Agenzia viaggi"
10,4,"MLC Education","Tour operator, Scuola di lingue, Agenzia viaggi, Tour operator, Scuola di lingue, Agenzia viaggi"
10,5,"Tennis Center - Lago di Garda","Club di tennis, Ristorante, Campo da tennis, Baita di montagna, Club di tennis, Ristorante, Campo da tennis, Baita di montagna"
10,6,"In viaggio con Giovanni Arena","Sito di raccolta di viaggi, Agenzia viaggi, Sito di raccolta di viaggi, Agenzia viaggi"
10,7,"Ale and Ale - Yoga Sailing Holidays","Scuola di vela, Centro per ritiri yoga, Agenzia di escursioni in barca, Centro yoga, Noleggio vacanze, Scuola di vela, Centro per ritiri yoga, Agenzia di escursioni in barca, Centro yoga, Noleggio vacanze"
10,8,"Maison de Famille","Bed & Breakfast, Bed & Breakfast"
10,9,"Kipepeo Experience","Sito di raccolta di viaggi, Sito di raccolta di viaggi"
10,10,"Padel Experience","Agenzia di viaggi sportivi, Agenzia di viaggi sportivi"
10,11,"Tribala","Agenzia di viaggi sportivi, Agenzia di viaggi sportivi"
10,12,"Live Virtual Guide","Fornitore di escursioni culturali, Fornitore di escursioni culturali"
10,13,"Spicy Meatball","Sito di raccolta di viaggi, Sito di raccolta di viaggi"
10,14,"ProntoHotel.com","Hotel, Hotel"
10,15,"lubrenseboats.com","Compagnia di crociere, Compagnia di crociere"
10,16,"Cantina Cima del Pomer","Cantina, Casa vacanze, Azienda vinicola, Azienda agricola di autoraccolta, Cantina, Casa vacanze, Azienda vinicola, Azienda agricola di autoraccolta"
10,17,"Paradigm Meet & Greet","Lounge, Aeroporto internazionale, Lounge, Aeroporto internazionale"
10,18,"VIP-BOOKING.IT","Agenzia di affitto di case vacanze, Agenzia di affitto di case vacanze"
10,19,"Blu Vacanze Salento","Agenzia di affitto di case vacanze, Agenzia di affitto di appartamenti a breve termine, Agenzia di affitto di case vacanze, Agenzia di affitto di appartamenti a breve termine"
10,20,"Touring italy","Tour operator, Tour operator"
11,1,"Ape Calessino Ostuni - eTouring","Servizio taxi, Agenzia di escursioni turistiche, Agenzia per escursioni, Tour operator, Servizio taxi, Agenzia di escursioni turistiche, Agenzia per escursioni, Tour operator"
11,2,"Isolanipercaso","Boutique hotel, Agenzia di escursioni turistiche, Alloggio per viaggiatori, Alloggio, Fornitore di escursioni culturali, Sito di raccolta di viaggi, Boutique hotel, Agenzia di escursioni turistiche, Alloggio per viaggiatori, Alloggio, Fornitore di escursioni culturali, Sito di raccolta di viaggi"
11,3,"clicksardegna.it","Azienda per la gestione delle proprietà immobiliari, Albergo di lusso, Agenzia di affitto di case vacanze, Casa vacanze, Associazione dei proprietari immobiliari, Villaggio di cottage, Azienda per la gestione delle proprietà immobiliari, Albergo di lusso, Agenzia di affitto di case vacanze, Casa vacanze, Associazione dei proprietari immobiliari, Villaggio di cottage"
11,4,"Misvago Travel Expert","Agenzia viaggi, Tour operator, Agenzia viaggi, Tour operator"
11,5,"Villa in Umbria","Servizio sistemazione per vacanze, Servizio sistemazione per vacanze"
11,6,"Patagonia Biking","Agenzia di viaggi sportivi, Agenzia di viaggi sportivi"
11,7,"Moveasy","Compagnia aerea, Compagnia aerea"
11,8,"Magytour","Agenzia viaggi, Agenzia viaggi"
11,9,"Hotel la Bussola Amalfi","Bar, Hotel, Ristorante italiano, Bar, Hotel, Ristorante italiano"
11,10,"esperienzeinglesi.com","Agenzia viaggi, Agenzia viaggi"
11,11,"Airkeyhouse.it","Sito di raccolta di viaggi, Agenzia viaggi, Hotel, Noleggio vacanze, Sito di raccolta di viaggi, Agenzia viaggi, Hotel, Noleggio vacanze"
11,12,"Sperlonga Escursioni","Servizio di noleggio barche, Agenzia di escursioni in barca, Servizio di noleggio barche, Agenzia di escursioni in barca"
